title,author
Walking in the Woods: Go back to nature with the Japanese way of shinrin-yoku,Professor Yoshifumi Miyazaki
Headshot,Rita Bullwinkel
Migrations,Charlotte McConaghy
Essays,George Orwell (Penguin’s Great Orwell series)
Metamorphosis,Franz Kafka
There There,Tommy Orange
Wandering Stars,Tommy Orange
So Late in the Day,Claire Keegan
The Moomins and the Great Flood,Tove Jansson
The Swans of Harlem,Karen Valby
Monkey Grip,Helen Garner
The Three-Body Problem,"Cixin Liu, translated"
Philosophy of the Home,Emanuele Coccia
An American Marriage,Tayari Jones
The Girls,Emma Cline
Heat,Bill Buford
Manacled,SenLinYu (fanfiction)
Colorless Tsukuru Tazaki and His Years of Pilgrimage,Haruki Murakami
There There,Tommy Orange
The Riddles of the Sphinx,Anna Schechtman
Cocktail,Lisa Alward
Kew Gardens: A Short Story,Virginia Woolf
Fascism and Democracy,George Orwell
Interview With the Vampire,Anne Rice
Looking for Mr. Goodbar,Judith Rossner
Down and Out in Paris and London,George Orwell
"Slow Days, Fast Company",Eve Babitz
Of Mice and Men,John Steinbeck
The Grapes of Wrath,John Steinbeck
The Island of Doctor Moreau,H.G. Wells
Don’t Go Without Me,Rosemary Valero O’Connell
Snow Crash,Neal Stephenson
Colorless Tsukuru Tazaki and His Years of Pilgrimage,Haruki Murakami
Riddles of the Sphinx,Anna Shechtman
My Name is Lucy Barton,Elizabeth Strout
This is How You Lose the Time War,Amal El-Mohtar and Max Gladstone
Once Is Not Enough,Jacqueline Susann
Homesick for Another World,Ottessa Moshfegh
Project Hail Mary,Andy Weir
Pool,Christopher Beanland
Unclean Jobs for Women and Girls,Alissa Nutting
Green Frog,Gina Chung
The True Deceiver,Tove Jansson
Fair Play,Tove Jansson
Drive Your Plow Over the Bones of the Dead,Olga Tokarczuk
Eileen,Ottessa Moshfegh
Death In Her Hands,Ottessa Moshfegh
A Jest of God,Margaret Laurence
Convenience Store Woman,Sayaka Murata
True Grit,Charles Portis
The Kamogawa Food Detectives,Hisashi Kashiwai
Before the Coffee Gets Cold,Toshikazu Kawaguchi
Kitchen,Banana Yoshimoto
If Cats Disappeared From the World,Genki Kawamura
Days at the Morisaki Bookshop,Satoshi Yagisawa
The Hole,Hiroko Oyamada
The Skull,Jon Klassen
Just Kids,Patti Smith
Last Night at the Telegraph Club,Malinda Lo
There’s Always This Year: On Basketball and Ascension,Hanif Abdurraqib
Memory Piece,Lisa Ko
Mr. Penumbra’s 24-Hour Bookstore,Robin Sloan
Project Hail Mary,Andy Weir
Dr Jekyll and Mr Hyde,Robert Louis Stevenson
The Kamogawa Food Detectives,Hisashi Kashiwai
Homesick for Another World,Ottessa Moshfegh
Alphabetical Diaries,Sheila Heti
Alphabetical Diaries,Sheila Heti
The Twisted Ones,T. Kingfisher
The Kamogawa Food Detectives,Hisashi Kashiwai
Duma Key,Stephen King
The Riddles of the Sphinx,Anna Schectman
Bunny,Mona Awad
Project Hail Mary,Andy Weir
Homesick for Another World,Ottessa Moshfegh
Food,Gertrude Stein
Girl Juice,Benji Nate
Letter to the Americans,Jean Cocteau
Manga Stories,Haruki Murakami
Eat a Peach,David Chang
Seven Empty Houses,Samanta Schweblin
Homesick for Another World,Ottessa Moshfegh
The Last Unicorn,Peter S. Beagle
Project Hail Mary,Andy Weir
Wandering Stars,Tommy Orange
Delicates,Brenna Thummler
Human Acts,Han Kang
Lord of the Flies,William Golding
Letter to the Americans,Jean Cocteau
Jellicoe Road,Melina Marchetta
"Sister Love: The Letters of Audre Lorde and Pat Parker 1974-1989, Edited",Julie R. Enszer
The Great Gatsby,F. Scott Fitzgerald
The Letters of Vincent Van Gogh,
How it Works Out,Myriam Lacroix
Brooklyn,Colm Toibin
A Tree Grows in Brooklyn,Betty Smith
On Writing,Stephen King
Feel Good Productivity,Ali Abdaal
The Private Eye,"Brian K. Vaughan, illustrated"
The Last Unicorn,Peter S. Beagle
The Island of Doctor Moreau,H.G. Wells
Manacled,SenLinYu
Seven Empty Houses,Samanta Schweblin
"In this episode we gave advice, no books mentioned!",
At the Altar,L.M. Montgomery
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg
There There,Tommy Orange
Good Material,Dolly Alderton
The Last Unicorn,Peter S. Beagle
The Wind-Up Bird Chronicle,Haruki Murakami
Jasper Jones,Craig Silvey
Letters to Eugène,Hervé Guibert and Eugène Savitzkaya
A Tree Grows in Brooklyn,Betty Smith
Seven Empty Houses,Samanta Schweblin
Lesser Known Monsters of the 21st Century,Kim Fu
A Tree Grows in Brooklyn,Betty Smith
Letters to Eugène,Hervé Guibert and Eugène Savitzkaya
Albatross,Terry Fallis
The Bullet Swallower,Elizabeth Gonzalez James
Handmade Books at Home,Chanel Ly
To Love and the Cherish,Will R. Bird
No Small Tempest,Evelyn M. Richardson
Swann in Love,Marcel Proust
Ella Minnow Pea,Mark Dunn
Elena Knows,Claudia Piñeiro
I Who Have Never Known Men,Jacqueline Harpman
Ten Arguments for Deleting Your Social Media Accounts Right Now,Jaron Lanier
The Life-Changing Magic of Tidying Up,Marie Kondo
If We Were Villains,M.L. Rio
Lesser Known Monsters of the 21st Century,Kim Fu
The Life-Changing Magic of Tidying Up,Marie Kondo
My Own Two Feet,Beverly Cleary
Lucy Maud Montgomery,Mary Henley Rubio
Agatha Christie,Lucy Worsley
True Grit,Charles Portis
The Blue Castle,L.M. Montgomery
The Time-Traveler’s Wife,Audrey Niffenegger
"Forever, Interrupted",Taylor Jenkins Reid
An American Marriage,Tayari Jones
Animal Farm,George Orwell
Stoner,John Williams
The Life-Changing Magic of Tidying Up,Marie Kondo
What I Talk About When I Talk About Running,Haruki Murakami
Feel Good Positivity,Ali Abdaal
The Nakano Thrift Shop,Hiromi Kawakami
Wolves of the Calla,Stephen King
Song of Susannah,Stephen King
Scott Pilgrim (series),Bryan Lee O’Malley
Sweetbitter,Stephanie Danler
A Prayer for the Crown-Shy,Becky Chambers
The Life-Changing Magic of Tidying Up,Marie Kondo
Feel Good Productivity,Ali Abdaal
Stoner,John Williams
George Orwell’s Complete Poetry,
The Wasteland,T.S. Eliot
Serious Concerns,Wendy Cope
Lunch Poems,Frank O’Hara
Ariel,Sylvia Plath
Only Child,Rhiannon Navin
Eggshell Skull,Bri Lee
Boy Swallows Universe,Trent Dalton
The Nakano Thrift Shop,Hiromi Kawakami
Underground Overground,Andrew Martin
A Trillion Trees,Fred Pearce
The Elements of Stye,Struck & White
Samurai William,Giles Milton
Sons and Others: On Loving Male Survivors,Tanaka Mhishi
In My Own Moccasins,Helen Knott
The Cat I Never Named,Mara Sabic-El-Rayess
Project Hail Mary,Andy Weir
What My Bones Know,Stephanie Foo
Sweetbitter,Stephanie Dancer
Switch,A.S. King
The Boys of Summer,Richard Cox
The Queen of the Tearling,Erika Johansen
A Tree Grows in Brooklyn,Betty Smith
Anna Karenina,Leo Tolstoy
Colorless Tsukuru Tazaki and His Years of Pilgrimage,Haruki Murakami
The Chrysalids,John Wyndham
I Am the Messenger,Markus Zusak
A Prayer for the Crown-Shy,Becky Chambers
Love letters: Virginia Woolf and Vita Sackville-West,
The Dog of the South,Charles Portis
Aesthetica,Allie Rowbottom
Unearthing,Kyo Maclear
Seven Empty Houses,Samanta Schweblin
A Horse at Night,Amina Cain
Chinatown,Thuân
She Said,Jodi Kantor and Megan Twohey
Now Go: On Grief and Studio Ghibli,Karl Thomas Smith
Love That Journey for Me: The Queer Revolution of Schitt’s Creek,Emily Garside
Sons and Others: On Loving Male Survivors,Tanaka Mhishi
Days at the Morisaki Bookshop,Satoshi Yagisawa
Manga Stories,Haruki Murakami
What You Are Looking for is in the Library,Michiko Aoyama
Moon of the Crusted Snow,Waubgeshig Rice
The Selected Journals of Lucy Maud Montgomery Volume 1,Mary Rubio and Elizabeth Waterston
Aunt Maud’s Recipe Book: From the Kitchen of L.M. Montgomery,Elaine Crawford & Kelly Crawford
A Book On Books: New Aesthetics In Book Design,Victionary
The Private Eye,Brian K. Vaughan
Talk to My Back,Yamada Murasaki
The Skull,Jon Klassen
A Psalm for the Wild-Build,Becky Chambers
My Own Two Feet,Beverly Cleary
"84, Charing Cross Road",Helene Hanff
Wedding Toasts I’ll Never Give,Ada Calhoun
True Grit,Charles Portis
The Blue Castle,L.M. Montgomery
My Brilliant Friend,Elena Ferrante
Bonjour Tristesse,Françoise Sagan
The Year of Magical Thinking,Joan Didion
Lunch Poems,Frank O’Hara
Serious Concerns,Wendy Cope
Ariel,Sylvia Plath
A Clockwork Orange,Anthony Burgess
Anne of Green Gables the Manga,L.M. Montgomery
Jane Austen at Home,Lucy Worsley
1000 Years of Joys and Sorrows,Ai Weiwei
Breasts and Eggs,Mieko Kawakami
In the Margins,Elena Ferrante
Kafka Was the Rage,Anatole Broyard
A Single Man,Christopher Isherwood
The Trial,Franz Kafka
Slouching Towards Bethlehem,Joan Didion
Diary of a Void,Emily Yagi
A Prayer for the Crown-Shy,Becky Chambers
Novelist as a Vocation,Haruki Murakami
Swimming Studies,Leanne Shapton
Tomorrow and tomorrow and Tomorrow,Gabrielle Zevin
"Briefly, A Delicious Life",Nell Stevens
Norwegian Wood,Haruki Murakami
11/22/63,Stephen King
Know My Name,Chanel Miller
Kitchen Confidential,Anthony Bourdain
Boy Parts,Eliza Clark
Oryx and Crake,Margaret Atwood
Rebecca,Daphne du Maurier
Out,Natsuo Kirino
In Cold Blood,Truman Capote
Sweetbitter,Stephanie Danler
Tomorrow and Tomorrow and Tomorrow,Gabrielle Zevin
Only Child,Rhiannon Navin
A Day of Fallen Night,Samantha Shannon
The Guest Cat,Takashi Hiraide
Cat + Gamer Vol 1,Wataru Nadatani
Catboy,Benji Nate
Mamo,Sas Milledge
Master and Margarita,Mikhail Bulgakov
I Am A Cat,Natsume Soseki
after the quake,Haruki Murakami
"Idol, Burning",Ron Usami
"Astral Season, Beastly Season",Tahi Saihate
I Am the Messenger,Markus Zusak
"In this episode we gave advice, no books mentioned!",
In Cold Blood,Truman Capote
A Clockwork Orange,Anthony Burgess
Rental Person Who Does Nothing,Shoji Morimoto
The Confessions of Georgia Nicolson,Louise Dennison (series)
"God Bless You, Mr Rosewater",Kurt Vonnegut
The Chrysalids,John Wyndham
Bonjour Tristesse,Françoise Sagan
The Outsiders,S.E. Hinton
Vanishing Fleece: Adventures in American Wool,Clara Parkes
Letters to a Young Gymnast,Nadia Comaneci
We Had to Remove This Post,Hanna Bervoets
A Court of Thorns and Roses,Sarah J. Maas
The Sound of a Wild Snail Eating,Elisabeth Tova Bailey
After Dark,Haruki Murakami
In Memory of Memory,Maria Stepanova
Almond,Sohn Won-Pyung
A Horse at Night,Amina Cain
Beach Read,Emily Henry
Orwell’s Roses,Rebecca Solnit
The Priory of the Orange Tree,Samantha Shannon
The Art of Fielding,Chad Harbach
Beartown,Fredrik Backman
The Hen Who Dreamed She Could Fly,Sun-Mi Hwang
If You Find Me,Emily Murdoch
True Grit,Charles Portis
The Catcher in the Rye,J.D. Salinger
